Energy_kV,Spectrum_fraction
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,8
59,14
60,2
61,3
62,4
63,4
64,5
65,6
66,7
67,24
68,14
69,19
70,9
71,9
72,10
73,12
74,13
75,14
76,15
77,17
78,18
79,19
80,21
81,22
82,23
83,25
84,26
85,27
86,29
87,30
88,31
89,33
90,34
91,35
92,36
93,38
94,39
95,40
96,41
97,42
98,43
99,44
100,45
101,46
102,47
103,47
104,48
105,49
106,50
107,50
108,51
109,51
110,52
111,52
112,53
113,53
114,54
115,54
116,55
117,55
118,55
119,56
120,56
121,56
122,56
123,57
124,57
125,57
126,57
127,57
128,57
129,57
130,57
131,57
132,57
133,57
134,57
135,57
136,57
137,57
138,57
139,57
140,57
141,57
142,57
143,56
144,56
145,56
146,56
147,56
148,56
149,55
150,55
151,55
152,55
153,55
154,54
155,54
156,54
157,53
158,53
159,53
160,53
161,52
162,52
163,52
164,51
165,51
166,51
167,50
168,50
169,50
170,49
171,49
172,49
173,49
174,48
175,48
176,48
177,47
178,47
179,47
180,46
181,46
182,46
183,45
184,45
185,45
186,44
187,44
188,44
189,43
190,43
191,43
192,42
193,42
194,42
195,41
196,41
197,41
198,40
199,40
200,40
201,40
202,39
203,39
204,39
205,38
206,38
207,38
208,37
209,37
210,37
211,36
212,36
213,36
214,36
215,35
216,35
217,35
218,34
219,34
220,34
221,33
222,33
223,33
224,33
225,32
226,32
227,32
228,31
229,31
230,31
231,31
232,30
233,30
234,30
235,30
236,29
237,29
238,29
239,29
240,28
241,28
242,28
243,28
244,27
245,27
246,27
247,27
248,26
249,26
250,26
251,26
252,26
253,25
254,25
255,25
256,25
257,24
258,24
259,24
260,24
261,23
262,23
263,23
264,23
265,23
266,23
267,22
268,22
269,22
270,22
271,22
272,21
273,21
274,21
275,21
276,21
277,20
278,20
279,20
280,20
281,20
282,19
283,19
284,19
285,19
286,19
287,19
288,18
289,18
290,18
291,18
292,18
293,17
294,17
295,17
296,17
297,17
298,17
299,16
300,16
301,16
302,16
303,16
304,16
305,16
306,15
307,15
308,15
309,15
310,15
311,15
312,14
313,14
314,14
315,14
316,14
317,14
318,14
319,13
320,13
321,13
322,13
323,13
324,13
325,13
326,12
327,12
328,12
329,12
330,12
331,12
332,12
333,11
334,11
335,11
336,11
337,11
338,11
339,11
340,11
341,10
342,10
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,9
351,9
352,9
353,9
354,9
355,9
356,9
357,9
358,9
359,8
360,8
361,8
362,8
363,8
364,8
365,8
366,8
367,8
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,5
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
